epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,1.590,1.215,1.651,0.721,0.686,0.683,0.478,1.864,1.529,1.911,0.00649,0.00649,0.00649
26,1.567,1.188,1.634,0.725,0.690,0.687,0.483,1.845,1.505,1.899,0.00631,0.00631,0.00631
27,1.546,1.163,1.618,0.729,0.693,0.691,0.487,1.828,1.483,1.887,0.00613,0.00613,0.00613
28,1.527,1.139,1.603,0.732,0.697,0.694,0.490,1.812,1.462,1.876,0.00595,0.00595,0.00595
29,1.508,1.116,1.589,0.735,0.700,0.698,0.494,1.797,1.443,1.866,0.00577,0.00577,0.00577
30,1.490,1.094,1.575,0.738,0.703,0.701,0.497,1.784,1.425,1.856,0.00559,0.00559,0.00559
31,1.474,1.074,1.562,0.741,0.706,0.704,0.500,1.771,1.408,1.848,0.00541,0.00541,0.00541
32,1.458,1.054,1.550,0.744,0.709,0.707,0.503,1.759,1.392,1.839,0.00523,0.00523,0.00523
33,1.443,1.035,1.538,0.746,0.711,0.709,0.506,1.748,1.377,1.831,0.00505,0.00505,0.00505
34,1.429,1.017,1.527,0.749,0.714,0.712,0.508,1.737,1.363,1.824,0.00487,0.00487,0.00487
35,1.416,1.000,1.516,0.751,0.716,0.714,0.511,1.727,1.349,1.817,0.00469,0.00469,0.00469
36,1.403,0.984,1.506,0.753,0.718,0.716,0.513,1.718,1.337,1.811,0.00451,0.00451,0.00451
37,1.391,0.968,1.496,0.755,0.720,0.719,0.516,1.710,1.325,1.805,0.00433,0.00433,0.00433
38,1.380,0.953,1.487,0.757,0.722,0.721,0.518,1.702,1.314,1.800,0.00416,0.00416,0.00416
39,1.369,0.939,1.478,0.759,0.724,0.723,0.520,1.694,1.303,1.795,0.00398,0.00398,0.00398
40,1.359,0.925,1.469,0.761,0.726,0.724,0.522,1.687,1.293,1.790,0.00381,0.00381,0.00381
41,1.349,0.912,1.461,0.762,0.728,0.726,0.523,1.681,1.284,1.786,0.00364,0.00364,0.00364
42,1.340,0.899,1.453,0.764,0.729,0.728,0.525,1.675,1.275,1.782,0.00347,0.00347,0.00347
43,1.331,0.887,1.446,0.765,0.731,0.729,0.527,1.669,1.267,1.778,0.00331,0.00331,0.00331
44,1.323,0.876,1.439,0.767,0.732,0.731,0.528,1.664,1.259,1.775,0.00314,0.00314,0.00314
45,1.315,0.865,1.432,0.768,0.734,0.732,0.530,1.659,1.252,1.772,0.00298,0.00298,0.00298
46,1.308,0.854,1.426,0.769,0.735,0.733,0.531,1.655,1.245,1.769,0.00283,0.00283,0.00283
47,1.301,0.844,1.420,0.771,0.736,0.735,0.532,1.651,1.239,1.767,0.00267,0.00267,0.00267
48,1.294,0.835,1.414,0.772,0.738,0.736,0.533,1.647,1.233,1.764,0.00252,0.00252,0.00252
49,1.288,0.826,1.409,0.773,0.739,0.737,0.535,1.643,1.227,1.762,0.00238,0.00238,0.00238
50,1.282,0.817,1.404,0.774,0.740,0.738,0.536,1.640,1.222,1.760,0.00223,0.00223,0.00223
51,1.276,0.809,1.399,0.775,0.741,0.739,0.537,1.637,1.217,1.759,0.00209,0.00209,0.00209
52,1.271,0.801,1.394,0.775,0.742,0.740,0.538,1.634,1.213,1.757,0.00196,0.00196,0.00196
53,1.266,0.793,1.390,0.776,0.743,0.741,0.539,1.632,1.209,1.756,0.00183,0.00183,0.00183
54,1.261,0.786,1.386,0.777,0.743,0.742,0.539,1.630,1.205,1.754,0.00170,0.00170,0.00170
55,1.257,0.779,1.382,0.778,0.744,0.742,0.540,1.628,1.202,1.753,0.00158,0.00158,0.00158
56,1.253,0.773,1.379,0.778,0.745,0.743,0.541,1.626,1.198,1.752,0.00146,0.00146,0.00146
57,1.249,0.767,1.375,0.779,0.745,0.744,0.541,1.624,1.196,1.751,0.00135,0.00135,0.00135
58,1.245,0.761,1.372,0.779,0.746,0.744,0.542,1.623,1.193,1.751,0.00124,0.00124,0.00124
59,1.242,0.755,1.369,0.780,0.746,0.745,0.542,1.621,1.190,1.750,0.00113,0.00113,0.00113
60,1.239,0.750,1.367,0.780,0.747,0.745,0.543,1.620,1.188,1.749,0.00103,0.00103,0.00103
61,1.236,0.745,1.364,0.781,0.747,0.746,0.543,1.619,1.186,1.749,0.00094,0.00094,0.00094
62,1.234,0.741,1.362,0.781,0.748,0.746,0.544,1.618,1.184,1.748,0.00085,0.00085,0.00085
63,1.231,0.737,1.360,0.782,0.748,0.746,0.544,1.617,1.183,1.748,0.00077,0.00077,0.00077
64,1.229,0.733,1.358,0.782,0.748,0.747,0.544,1.617,1.181,1.747,0.00069,0.00069,0.00069
65,1.227,0.730,1.357,0.782,0.749,0.747,0.545,1.616,1.180,1.747,0.00062,0.00062,0.00062
